Number,ID,Complexity,Type,Instruction,Referents,,object_name,x,y,z,Referents_Original,Referents_Cleaned,Referents_AnchorMapped,Referents_Changed,Referents_Unparsed
389,Basic-389,basic,direct,Secure that file.,File1,,,,,,File1,File1,file1,false,
390,Basic-390,basic,direct,Carry that chair to there.,"Chair1, Desk6",,,,,,"Chair1, Desk6","Chair1, Desk6","chair1, desk6",false,
391,Basic-391,basic,indirect,Ask the assistant nearby to verify that desk for clutter.,"Desk8, Person3",,,,,,"Desk8, Person3","Desk8, Person3","desk8, person3",false,
392,Basic-392,basic,direct,Tidy that chair.,Chair8,,,,,,Chair8,Chair8,chair8,false,
393,Basic-393,basic,direct,Adjust that chair.,Chair3,,,,,,Chair3,Chair3,chair3,false,
394,Basic-394,basic,direct,Adjust that lamp.,Lamp1,,,,,,Lamp1,Lamp1,lamp1,false,
395,Basic-395,basic,direct,Check that file for its label.,File4,,,,,,File4,File4,file4,false,
396,Basic-396,basic,direct,Request the person by the desk to carry that file to there.,"File1, Printer1, Person1",,,,,,"File1, Printer1, Person1","File1, Printer1, Person1","file1, printer, person1",false,
397,Basic-397,basic,direct,Reposition that laptop in front of the desk.,"Laptop3, Desk4",,,,,,"Laptop3, Desk4","Laptop3, Desk4","laptop3, desk4",false,
398,Basic-398,basic,indirect,Instruct this colleague to review that file for its label.,"File1, Person3",,,,,,"File1, Person3","File1, Person3","file1, person3",false,
399,Basic-399,basic,indirect,Instruct the person nearby to move that file next to the desk.,"File5, Desk5, Person3",,,,,,"File5, Desk5, Person3","File5, Desk5, Person3","file5, desk5, person3",false,
400,Basic-400,basic,indirect,Tell that colleague to secure that laptop.,"Laptop3, Person2",,,,,,"Laptop3, Person2","Laptop3, Person2","laptop3, person2",false,
401,Medium-401,medium,direct,"Ask that fellow to slide that laptop near the spot, then arrange that chair, then carry that file to there.","Laptop1, PointB, Chair1, File5, PointA, Person1",,,,,,"Laptop1, PointB, Chair1, File5, PointA, Person1","Laptop1, PointB, Chair1, File5, PointA, Person1","laptop1, pointB, chair1, file5, pointA, person1",false,
402,Medium-402,medium,direct,"Secure that file, then move that file over there.","File3, Desk6",,,,,,"File3, Desk6","File3, Desk6","file3, desk6",false,
403,Medium-403,medium,direct,"Carry that chair toward there, then check that lamp for brightness.","Chair2, Desk1, Lamp2",,,,,,"Chair2, Desk1, Lamp2","Chair2, Desk1, Lamp2","chair2, desk1, lamp2",false,
404,Medium-404,medium,direct,"Slide that chair in front of there, then tidy that file, then place that laptop to there.","Chair2, PointB, File5, Laptop2, Desk7",,,,,,"Chair2, PointB, File5, Laptop2, Desk7","Chair2, PointB, File5, Laptop2, Desk7","chair2, pointB, file5, laptop2, desk7",false,
405,Medium-405,medium,direct,"Move that chair to there, then tidy that chair, then arrange that chair.","Chair8, PointC, Chair3, Chair1",,,,,,"Chair8, PointC, Chair3, Chair1","Chair8, PointC, Chair3, Chair1","chair8, pointC, chair3, chair1",false,
406,Medium-406,medium,direct,"Tidy that file, then review that desk for clutter.","File1, Desk6",,,,,,"File1, Desk6","File1, Desk6","file1, desk6",false,
407,Medium-407,medium,direct,"Tidy that file, then tidy that chair.","File2, Chair1",,,,,,"File2, Chair1","File2, Chair1","file2, chair1",false,
408,Medium-408,medium,indirect,"Instruct that colleague to push that chair in front of the desk, then place that chair near there.","Person2, Chair2, Desk6, Chair6, Desk5",,,,,,"Person2, Chair2, Desk6, Chair6, Desk5","Person2, Chair2, Desk6, Chair6, Desk5","person2, chair2, desk6, chair6, desk5",false,
409,Medium-409,medium,indirect,"Tell that colleague to slide that file near the desk, then secure that file.","Person2, File3, Desk4, File5",,,,,,"Person2, File3, Desk4, File5","Person2, File3, Desk4, File5","person2, file3, desk4, file5",false,
410,Medium-410,medium,indirect,"Ask that colleague to verify that lamp for brightness, then slide that chair to there, then secure that door.","Person2, Lamp1, Chair2, Desk1, Door1",,,,,,"Person2, Lamp1, Chair2, Desk1, Door1","Person2, Lamp1, Chair2, Desk1, Door1","person2, lamp1, chair2, desk1, door1",false,
411,Medium-411,medium,direct,"Move that file to the desk, then secure that lamp.","File5, Desk3, Lamp1",,,,,,"File5, Desk3, Lamp1","File5, Desk3, Lamp1","file5, desk3, lamp1",false,
412,Medium-412,medium,direct,"Carry that chair next to the desk, then move that file over there.","Chair7, Desk8, File2, Desk4",,,,,,"Chair7, Desk8, File2, Desk4","Chair7, Desk8, File2, Desk4","chair7, desk8, file2, desk4",false,
413,Medium-413,medium,direct,"Place that chair near the spot, then move that file near there.","Chair3, PointB, File2, Desk7",,,,,,"Chair3, PointB, File2, Desk7","Chair3, PointB, File2, Desk7","chair3, pointB, file2, desk7",false,
414,Medium-414,medium,indirect,"Instruct that colleague to check that computer for display issues, then inspect that computer for display issues.","Person1, PC4, PC5",,,,,,"Person1, PC4, PC5","Person1, PC4, PC5","person1, PC4, PC5",false,
415,Medium-415,medium,direct,"Request that colleague to confirm that file for its label, then push that chair next to the desk.","Person1, File2, Chair4, Desk8",,,,,,"Person1, File2, Chair4, Desk8","Person1, File2, Chair4, Desk8","person1, file2, chair4, desk8",false,
416,Medium-416,medium,direct,"Confirm that computer for display issues, then slide that chair near the desk.","PC6, Chair6, Desk5",,,,,,"PC6, Chair6, Desk5","PC6, Chair6, Desk5","PC6, chair6, desk5",false,
417,Medium-417,medium,direct,"Move that chair near the spot, then inspect that file for its label.","Chair4, PointB, File2",,,,,,"Chair4, PointB, File2","Chair4, PointB, File2","chair4, pointB, file2",false,
418,Medium-418,medium,direct,"Adjust that file, then carry that chair by the desk, then move that chair next to the door.","File5, Chair1, Desk3, Chair7, Door1",,,,,,"File5, Chair1, Desk3, Chair7, Door1","File5, Chair1, Desk3, Chair7, Door1","file5, chair1, desk3, chair7, door1",false,
419,Medium-419,medium,indirect,"Request that colleague to carry that chair, then  arrange that chair.","Person1, Chair6, Chair5",,,,,,"Person1, Chair6, Chair5","Person1, Chair6, Chair5","person1, chair6, chair5",false,
420,Medium-420,medium,direct,"Carry that chair over there, then ask that colleague to move that chair  by the desk.","Chair4, Desk6, Person2, Chair8, Desk7",,,,,,"Chair4, Desk6, Person2, Chair8, Desk7","Chair4, Desk6, Person2, Chair8, Desk7","chair4, desk6, person2, chair8, desk7",false,
421,Medium-421,medium,direct,"Move that chair to there, then check that computer for display issues.","Chair5, Printer1, PC5",,,,,,"Chair5, Printer1, PC5","Chair5, Printer1, PC5","chair5, printer, PC5",false,
422,Medium-422,medium,direct,"Arrange that file, then move that chair to that desk.","File4, Chair2, Desk7",,,,,,"File4, Chair2, Desk7","File4, Chair2, Desk7","file4, chair2, desk7",false,
423,Medium-423,medium,direct,"Place that chair near there, then request that colleague to move that file to there.","Chair2, Desk1, Person1, File2, Desk4",,,,,,"Chair2, Desk1, Person1, File2, Desk4","Chair2, Desk1, Person1, File2, Desk4","chair2, desk1, person1, file2, desk4",false,
424,Medium-424,medium,direct,"Adjust that laptop, then request that colleague to move that chair to the desk.","Laptop2, Person2, Chair7, Desk4",,,,,,"Laptop2, Person2, Chair7,Desk  4","Laptop2, Person2, Chair7, Desk4","laptop2, person2, chair7, desk4",true,
425,Medium-425,medium,direct,"Carry that file in front of the door, then instruct that colleague to move that chair by the printer.","File4, Door1, Person2, Chair7",,,,,,"File4, Door1, Person2, Chair7","File4, Door1, Person2, Chair7","file4, door1, person2, chair7",false,
426,Medium-426,medium,direct,"Open that file, then secure that file.","File3, File1",,,,,,"File3, File1","File3, File1","file3, file1",false,
427,Medium-427,medium,indirect,"Request that colleague to secure that file, then arrange that drawer.","Person1, File4, Drawer1",,,,,,"Person1, File4, Drawer1","Person1, File4, Drawer1","person1, file4, Drawer1",false,
428,Medium-428,medium,direct,"Push that chair in front of the desk, then slide that chair next to the desk, and arrange it.","Chair4, Desk4, Chair6, Desk6",,,,,,"Chair4, Desk4, Chair6, Desk6","Chair4, Desk4, Chair6, Desk6","chair4, desk4, chair6, desk6",false,
429,Medium-429,medium,indirect,"Ask that colleague to inspect that file for its label, then confirm that laptop for battery level.","Person3, File2, Laptop1",,,,,,"Person3, File2, Laptop1","Person3, File2, Laptop1","person3, file2, laptop1",false,
430,Medium-430,medium,direct,"Slide that file in front of the spot, then carry that chair to there.","File5, PointA, Chair3, Desk4",,,,,,"File5, PointA, Chair3, Desk4","File5, PointA, Chair3, Desk4","file5, pointA, chair3, desk4",false,
431,Medium-431,medium,direct,"Tidy that file, then inspect that desk for clutter.","File4, Desk8",,,,,,"File4, Desk8","File4, Desk8","file4, desk8",false,
432,Medium-432,medium,direct,"Move that chair by the desk, then close that file, then move that chair near the printer.","Chair4, Desk5, File4, Chair7, Printer1",,,,,,"Chair4, Desk5, File4, Chair7 Printer1","Chair4, Desk5, File4, Chair7, Printer1","chair4, desk5, file4, chair7, printer",true,
433,Medium-433,medium,direct,"Inspect that file for its label, then carry that laptop to there.","File3, Laptop1, PointB",,,,,,"File3, Laptop1, PointB","File3, Laptop1, PointB","file3, laptop1, pointB",false,
434,Medium-434,medium,direct,"Place that chair near there, then check that desk for clutter.","Chair3, Desk2, Desk8",,,,,,"Chair3, Desk2, Desk8","Chair3, Desk2, Desk8","chair3, desk2, desk8",false,
435,Medium-435,medium,indirect,"Instruct that colleague to secure that file, then verify that laptop for battery level.","Person3, File1, Laptop2",,,,,,"Person3, File1, Laptop2","Person3, File1, Laptop2","person3, file1, laptop2",false,
436,Medium-436,medium,direct,"Move that chair to there, then confirm that file for its label.","Chair4, Printer1, File4",,,,,,"Chair4, Printer1, File4","Chair4, Printer1, File4","chair4, printer, file4",false,
437,Medium-437,medium,direct,"Arrange that drawer, then check that file for its label.","Drawer2, File4",,,,,,"Drawer2, File4","Drawer2, File4","Drawer2, file4",false,
438,Medium-438,medium,direct,"Push that chair near there, then carry that file by the desk.","Chair2, Desk7, File5, Desk4",,,,,,"Chair2, Desk7, File5, Desk4","Chair2, Desk7, File5, Desk4","chair2, desk7, file5, desk4",false,
439,Medium-439,medium,direct,"Carry that chair over there, then place that laptop near the desk.","Chair6, PointC, Laptop2, Desk3",,,,,,"Chair6, PointC, Laptop2, Desk3","Chair6, PointC, Laptop2, Desk3","chair6, pointC, laptop2, desk3",false,
440,Medium-440,medium,direct,"Push that file over there, then tidy that desk, then close that door.","File4, Printer1, Desk4, Door1",,,,,,"File4, Printer1, Desk4, Door1","File4, Printer1, Desk4, Door1","file4, printer, desk4, door1",false,
441,Medium-441,medium,direct,"Confirm that computer for display issues, then arrange that file.","PC6, File1",,,,,,"PC6, File1","PC6, File1","PC6, file1",false,
442,Medium-442,medium,direct,"Secure that chair, then verify that computer for display issues.","Chair6, PC2",,,,,,"Chair6, PC2","Chair6, PC2","chair6, PC2",false,
443,Medium-443,medium,direct,"Move that chair next to the spot, then place that chair near the desk, then slide that chair in front of there","Chair3, PointC, Chair8, Desk3, Chair4, PointA",,,,,,"Chair3, PointC, Chair8, Desk3, Chair4, PointA","Chair3, PointC, Chair8, Desk3, Chair4, PointA","chair3, pointC, chair8, desk3, chair4, pointA",false,
444,Medium-444,medium,direct,"Place that chair in front of the desk, then move that chair next to the desk.","Chair3, Desk8, Chair1, Desk7",,,,,,"Chair3, Desk8, Chair1, Desk7","Chair3, Desk8, Chair1, Desk7","chair3, desk8, chair1, desk7",false,
445,Medium-445,medium,direct,"Move that laptop over there, then verify that lamp for brightness.","Laptop2, Printer1, Lamp3",,,,,,"Laptop2, Printer1, Lamp3","Laptop2, Printer1, Lamp3","laptop2, printer, lamp3",false,
446,Medium-446,medium,direct,"Check that desk for clutter, then check that desk for clutter, then move that chair near the desk.","Desk8, Desk6, Chair3, Desk5",,,,,,"Desk8, Desk6, Chair3, Desk5","Desk8, Desk6, Chair3, Desk5","desk8, desk6, chair3, desk5",false,
447,Medium-447,medium,indirect,"Ask that colleague to place that laptop over there, then carry that chair to that desk.","Person2, Laptop1, PointA, Chair4, Desk4",,,,,,"Person2, Laptop1, PointA, Chair4, Desk4","Person2, Laptop1, PointA, Chair4, Desk4","person2, laptop1, pointA, chair4, desk4",false,
448,Medium-448,medium,indirect,"Instruct that colleague to carry that chair near there, then carry that file over there.","Person3, Chair6, PointB, File1, Desk3",,,,,,"Person3, Chair6, PointB, File1, Desk3","Person3, Chair6, PointB, File1, Desk3","person3, chair6, pointB, file1, desk3",false,
449,Medium-449,medium,indirect,"Ask that colleague to secure that chair, then secure that file.","Person2, Chair3, File4",,,,,,"Person2, Chair3, File4","Person2, Chair3, File4","person2, chair3, file4",false,
450,Medium-450,medium,direct,"Adjust that chair, then tell that colleague to place that chair near the desk.","Chair1, Person2, Chair8, Desk4",,,,,,"Chair1, Person2, Chair8,Desk4","Chair1, Person2, Chair8, Desk4","chair1, person2, chair8, desk4",true,
451,Medium-451,medium,direct,"Push that chair to there, then place that chair near the desk.","Chair2, Desk6, Chair3, Desk1",,,,,,"Chair2, Desk6, Chair3, Desk1","Chair2, Desk6, Chair3, Desk1","chair2, desk6, chair3, desk1",false,
452,Medium-452,medium,direct,"Open that file, then carry that chair near the spot.","File5, Chair5, PointA",,,,,,"File5, Chair5, PointA","File5, Chair5, PointA","file5, chair5, pointA",false,
453,Medium-453,medium,indirect," Ask that colleague to place that chair to there, then place that file to that desk.","Person3, Chair1, Desk8, File5, Desk1",,,,,,"Person3, Chair1, Desk8, File5, Desk1","Person3, Chair1, Desk8, File5, Desk1","person3, chair1, desk8, file5, desk1",false,
454,Medium-454,medium,indirect,"Ask that colleague to confirm that desk for clutter, then move that file over there.","Person3, Desk3, File2",,,,,,"Person3, Desk3, File2","Person3, Desk3, File2","person3, desk3, file2",false,
455,Medium-455,medium,direct,"Open that lamp, then close that lamp.","Lamp2, Lamp3",,,,,,"Lamp2, Lamp3","Lamp2, Lamp3","lamp2, lamp3",false,
456,Medium-456,medium,direct,"Arrange that chair, then move that chair near there.","Chair2, Chair7, Door1",,,,,,"Chair2, Chair7, Door1","Chair2, Chair7, Door1","chair2, chair7, door1",false,
457,Medium-457,medium,direct,"Inspect that lamp for brightness, then secure that file.","Lamp2, File2",,,,,,"Lamp2, File2","Lamp2, File2","lamp2, file2",false,
458,Medium-458,medium,direct,"Verify that file for its label, then slide that file by the desk.","File3, File5, Desk2",,,,,,"File3, File5, Desk2","File3, File5, Desk2","file3, file5, desk2",false,
459,Medium-459,medium,direct,"Tidy that drawer, then instruct that colleague to carry that laptop near the spot.","Drawer1, Person1, Laptop1, PointC",,,,,,"Drawer1, Person1, Laptop1, PointC","Drawer1, Person1, Laptop1, PointC","Drawer1, person1, laptop1, pointC",false,
460,Medium-460,medium,direct,"Tell that colleague to push that file near the printer, then place that chair next to the door.","Person1, File1, Printer1, Chair1, Door1",,,,,,"Person1, File1, Printer1,Chair1, Door1","Person1, File1, Printer1, Chair1, Door1","person1, file1, printer, chair1, door1",true,
461,Medium-461,medium,direct,"Arrange that file, then move that file to there.","File4, Door1",,,,,,"File4, Door1","File4, Door1","file4, door1",false,
462,Medium-462,medium,indirect,"Ask that colleague to arrange that laptop, then clean that chair.","Person2, Laptop2, Chair8",,,,,,"Person2, Laptop2, Chair8","Person2, Laptop2, Chair8","person2, laptop2, chair8",false,
463,Medium-463,medium,indirect,"Tell that colleague to tidy that chair, then check that printer for paper and toner.","Person3, Chair3, Printer1",,,,,,"Person3, Chair3, Printer1","Person3, Chair3, Printer1","person3, chair3, printer",false,
464,Medium-464,medium,indirect,"Request that colleague to confirm that desk for clutter, then place that chair by the desk.","Person3, Desk6, Chair4, Desk4",,,,,,"Person3, Desk6, Chair4, Desk4","Person3, Desk6, Chair4, Desk4","person3, desk6, chair4, desk4",false,
465,Medium-465,medium,indirect,"Request that colleague to move that chair next to the desk, then carry that file near there.","Person3, File4, Chair1, Desk7",,,,,,"Person3, File4,  Chair1,Desk7","Person3, File4, Chair1, Desk7","person3, file4, chair1, desk7",true,
466,Medium-466,medium,direct,"Request that colleague to carry that file next to the desk, then carry that file by the desk.","Person2, File5, File1, Desk2",,,,,,"Person2, File5, File1, Desk2","Person2, File5, File1, Desk2","person2, file5, file1, desk2",false,
467,Medium-467,medium,direct,"Verify that file for its label, then slide that chair in front of the spot.","File2, Chair3, PointB",,,,,,"File2, Chair3, PointB","File2, Chair3, PointB","file2, chair3, pointB",false,
468,Medium-468,medium,direct,"Move that file near the printer, then place that file next to the desk.","File1, Printer1, File4, Desk5",,,,,,"File1, Printer1, File4, Desk5","File1, Printer1, File4, Desk5","file1, printer, file4, desk5",false,
469,Medium-469,medium,direct,"Request that colleague to secure that chair, then slide that file near the desk.","Person2, Chair2, File2, Desk8",,,,,,"Person2, Chair2, File2,  Desk8","Person2, Chair2, File2, Desk8","person2, chair2, file2, desk8",true,
470,Medium-470,medium,indirect,"Request that colleague to confirm that file for its label, then slide that chair in front of the desk, then adjust that lamp.","Person3, File1, Chair7, Desk6, Lamp2",,,,,,"Person3, File1, Chair7, Desk6, Lamp2","Person3, File1, Chair7, Desk6, Lamp2","person3, file1, chair7, desk6, lamp2",false,
471,Medium-471,medium,direct,"Push that file next to the spot, then push that chair in front of the desk.","File3, PointA, Chair2, Desk1",,,,,,"File3, PointA, Chair2, Desk1","File3, PointA, Chair2, Desk1","file3, pointA, chair2, desk1",false,
472,Medium-472,medium,indirect,"Request that colleague to push that chair in front of the spot, then slide that chair next to the spot.","Person2, Chair4, PointB, Chair5",,,,,,"Person2, Chair4, PointB, Chair5, PointB","Person2, Chair4, PointB, Chair5","person2, chair4, pointB, chair5",true,
473,Medium-473,medium,indirect,Instruct that colleague to check that desk for clutter.,"Person1, Desk3",,,,,,"Person1, Desk3","Person1, Desk3","person1, desk3",false,
474,Medium-474,medium,direct,"Arrange that chair, then ask that colleague to move that chair in front of the desk.","Chair7, Person1, Chair4, Desk4",,,,,,"Chair7, Person1, Chair4, Desk4","Chair7, Person1, Chair4, Desk4","chair7, person1, chair4, desk4",false,
475,Medium-475,medium,indirect,"Request that colleague to inspect that lamp for brightness, place that chair to there, then move that file near there.","Person1, Lamp3, Chair3, File2, Desk3",,,,,,"Person1, Lamp3, Chair3, File2, Desk3","Person1, Lamp3, Chair3, File2, Desk3","person1, lamp3, chair3, file2, desk3",false,
476,Medium-476,medium,direct,"Arrange that file, then instruct that colleague to verify that door for scratches.","File3, Person1, Door1",,,,,,"File3, Person1, Door1","File3, Person1, Door1","file3, person1, door1",false,
477,Medium-477,medium,indirect,"Tell that colleague to arrange that file, then carry that chair over there.","Person3, File5, Chair4, Desk1",,,,,,"Person3, File5, Chair4, Desk1","Person3, File5, Chair4, Desk1","person3, file5, chair4, desk1",false,
478,Medium-478,medium,indirect,"Instruct that colleague to confirm that file for its label, then push that file in front of the spot.","Person2, File2, File3, PointB",,,,,,"Person2, File2, File3, PointB","Person2, File2, File3, PointB","person2, file2, file3, pointB",false,
479,Medium-479,medium,indirect,"Tell that colleague to  clean that chair, then move that file in front of the desk.","Person1, Chair6, File5, Desk4",,,,,,"Person1, Chair6, File5, Desk4","Person1, Chair6, File5, Desk4","person1, chair6, file5, desk4",false,
480,Medium-480,medium,direct,"Instruct that colleague to tidy that lamp, then move that file in front of the desk.","Person1, Lamp2, File5, Desk4",,,,,,"Person1, Lamp2, File5, Desk4","Person1, Lamp2, File5, Desk4","person1, lamp2, file5, desk4",false,
481,Medium-481,medium,indirect,"Ask that colleague to place that chair next to the desk, then move that chair in front of the desk.","Person1, Chair6, Desk6, Chair4, Desk8",,,,,,"Person1, Chair6, Desk6, Chair4, Desk8","Person1, Chair6, Desk6, Chair4, Desk8","person1, chair6, desk6, chair4, desk8",false,
482,Medium-482,medium,direct,"Move that chair in front of the spot, then inspect that door for scratches, then move that chair to that desk","Chair6, PointB, Door1, Chair8, Desk5",,,,,,"Chair6, PointB, Door1, Chair8, Desk5","Chair6, PointB, Door1, Chair8, Desk5","chair6, pointB, door1, chair8, desk5",false,
483,Medium-483,medium,direct,"Tell that colleague to push that chair to there, then open that drawer, then place that chair over there.","Person2, Chair6, Desk3, Drawer1, Chair3, Desk1",,,,,,"Person2, Chair6,desk 3, Drawer1, Chair3, Desk1","Person2, Chair6, Desk3, Drawer1, Chair3, Desk1","person2, chair6, desk3, Drawer1, chair3, desk1",true,
484,Medium-484,medium,direct,"Secure that chair, then tell that colleague to inspect that desk for clutter.","Chair1, Person1, Desk2",,,,,,"Chair1, Person1, Desk2","Chair1, Person1, Desk2","chair1, person1, desk2",false,
485,Medium-485,medium,direct,"Tidy that chair, then slide that file over there.","Chair8, File2, Desk5",,,,,,"Chair8, File2, Desk5","Chair8, File2, Desk5","chair8, file2, desk5",false,
486,Medium-486,medium,indirect,"Tell that colleague to slide that chair near there, then adjust that lamp.","Person1, Chair6, Desk7, Lamp1",,,,,,"Person1, Chair6, Desk7, Lamp1","Person1, Chair6, Desk7, Lamp1","person1, chair6, desk7, lamp1",false,
487,Medium-487,medium,direct,"Tidy that drawer, then request that colleague to slide that chair to there.","Drawer1, Person3, Chair8, Desk2",,,,,,"Drawer1, Person3, Chair8, Desk2","Drawer1, Person3, Chair8, Desk2","Drawer1, person3, chair8, desk2",false,
488,Medium-488,medium,direct,"Check that desk for clutter, then arrange that file.","Desk8, File2",,,,,,"Desk8, File2","Desk8, File2","desk8, file2",false,
489,Medium-489,medium,indirect,"Ask that colleague to check that computer for display issues, then move that file next to the printer.","Person3, PC1, File1, Printer1",,,,,,"Person3, PC1, File1, Printer1","Person3, PC1, File1, Printer1","person3, PC1, file1, printer",false,
490,Medium-490,medium,indirect,"Instruct that colleague to clean that chair, then slide that file near there.","Person3, Chair7, File5, Desk3",,,,,,"Person3, Chair7, File5, Desk3","Person3, Chair7, File5, Desk3","person3, chair7, file5, desk3",false,
491,Medium-491,medium,direct,"Open that drawer, then arrange that chair.","Drawer2, Chair6",,,,,,"Drawer2, Chair6","Drawer2, Chair6","Drawer2, chair6",false,
492,Medium-492,medium,direct,"Instruct that colleague to place that chair next to the desk, then check that lamp for brightness.","Person3, Chair4, Desk4, Lamp1",,,,,,"Person3, Chair4, Desk4, Lamp1","Person3, Chair4, Desk4, Lamp1","person3, chair4, desk4, lamp1",false,
493,Medium-493,medium,direct,"Adjust that lamp, then adjust that file.","Lamp3, File3",,,,,,"Lamp3, File3","Lamp3, File3","lamp3, file3",false,
494,Medium-494,medium,indirect,"Request that colleague to inspect that computer for display issues, then carry that file over there, then adjust that laptop.","Person1, PC4, File2, Printer1, Laptop1",,,,,,"Person1, PC4, File2, Printer1, Laptop1","Person1, PC4, File2, Printer1, Laptop1","person1, PC4, file2, printer, laptop1",false,
495,Medium-495,medium,direct,"Move that file next to the desk, then check that lamp for brightness.","File2, Desk1, Lamp3",,,,,,"File2, Desk1, Lamp3","File2, Desk1, Lamp3","file2, desk1, lamp3",false,
496,Medium-496,medium,direct,"Push that chair in front of the desk, then tidy that file.","Chair8, Desk1, File5",,,,,,"Chair8, Desk1, File5","Chair8, Desk1, File5","chair8, desk1, file5",false,
497,Medium-497,medium,direct,"Verify that computer for display issues, then ask that colleague to slide that file in front of the desk.","PC4, Person1, File4, Desk6",,,,,,"PC4, Person1, File4,Desk6","PC4, Person1, File4, Desk6","PC4, person1, file4, desk6",true,
498,Medium-498,medium,direct,"Place that laptop next to the spot, then place that chair to that desk.","Laptop2, PointB, Chair8, Desk7",,,,,,"Laptop2, PointB, Chair8, Desk7","Laptop2, PointB, Chair8, Desk7","laptop2, pointB, chair8, desk7",false,
499,Medium-499,medium,direct,"Confirm that desk for clutter, then carry that file to there.","desk4, file4, desk1",,,,,,,"desk4, file4, desk1","desk4, file4, desk1",true,
500,Medium-500,medium,direct,"Open that file, then place that chair next to the spot.","File5, Chair6, PointA",,,,,,"File5, Chair6, PointA","File5, Chair6, PointA","file5, chair6, pointA",false,
501,Medium-501,medium,indirect,"Ask that colleague to arrange that file, then inspect that laptop for battery level.","Person3, File2, Laptop2",,,,,,"Person3, File2, Laptop2","Person3, File2, Laptop2","person3, file2, laptop2",false,
502,Medium-502,medium,direct,"Carry that chair close to the spot, then place that chair near there, then confirm that lamp for brightness.","Chair3, PointA, Chair7, Desk4, Lamp3",,,,,,"Chair3, PointA, Chair7, Desk4, Lamp3","Chair3, PointA, Chair7, Desk4, Lamp3","chair3, pointA, chair7, desk4, lamp3",false,
503,Medium-503,medium,direct,"Arrange that chair, then arrange that chair.","Chair6, Chair1",,,,,,"Chair6, Chair1","Chair6, Chair1","chair6, chair1",false,
504,Medium-504,medium,direct,"Inspect that file for its label, then inspect that drawer.","File4, Drawer2",,,,,,"File4, Drawer2","File4, Drawer2","file4, Drawer2",false,
505,Medium-505,medium,direct,"Secure that file, then push that laptop close to the spot.","File5, Laptop2, PointC",,,,,,"File5, Laptop2, PointC","File5, Laptop2, PointC","file5, laptop2, pointC",false,
506,Medium-506,medium,direct,"Slide that laptop near there, then push that chair near the door.","Laptop2, Desk1, Chair8, Door1",,,,,,"Laptop2, Desk1, Chair8, Door1","Laptop2, Desk1, Chair8, Door1","laptop2, desk1, chair8, door1",false,
507,Medium-507,medium,direct,"Arrange that drawer, then move that chair close to the desk.","Drawer2, Chair7, Desk3",,,,,,"Drawer2, Chair7, Desk3","Drawer2, Chair7, Desk3","Drawer2, chair7, desk3",false,
508,Medium-508,medium,direct,"Inspect that door for scratches, then confirm that laptop for battery level.","Door1, Laptop1",,,,,,"Door1, Laptop1","Door1, Laptop1","door1, laptop1",false,
509,Medium-509,medium,direct,"Slide that chair by the spot, then push it next to the spot.","Chair5, PointA, PointB",,,,,,"Chair5, PointA, PointB","Chair5, PointA, PointB","chair5, pointA, pointB",false,
510,Medium-510,medium,direct,"Verify that computer for display issues, then check that laptop for battery level.","PC6, Laptop2",,,,,,"PC6, Laptop2","PC6, Laptop2","PC6, laptop2",false,
511,Medium-511,medium,direct,"Confirm that laptop for battery level, then slide that chair by the desk.","Laptop2, Chair3, Desk7",,,,,,"Laptop2, Chair3, Desk7","Laptop2, Chair3, Desk7","laptop2, chair3, desk7",false,
512,Medium-512,medium,direct,"Verify that lamp for brightness, then inspect that desk for clutter.","Lamp3, Desk4",,,,,,"Lamp3, Desk4","Lamp3, Desk4","lamp3, desk4",false,
513,Medium-513,medium,direct,"Confirm that door for scratches, then confirm that printer for paper and toner.","Door1, Printer1",,,,,,"Door1, Printer1","Door1, Printer1","door1, printer",false,
514,Medium-514,medium,direct,"Arrange that chair, then confirm that computer for display issues.","Chair5, PC5",,,,,,"Chair5, PC5","Chair5, PC5","chair5, PC5",false,
515,Medium-515,medium,indirect,"Ask that colleague to confirm that desk for clutter, then confirm that desk for clutter.","Person3, Desk1, Desk3",,,,,,"Person3, Desk1, Desk3","Person3, Desk1, Desk3","person3, desk1, desk3",false,
516,Medium-516,medium,indirect,"Instruct that colleague to inspect that lamp for brightness, then open that drawer, then push that laptop next to the desk.","Person3, Lamp3, Drawer2, Laptop1, Desk3",,,,,,"Person3, Lamp3, Drawer2, Laptop1, Desk3","Person3, Lamp3, Drawer2, Laptop1, Desk3","person3, lamp3, Drawer2, laptop1, desk3",false,
517,Medium-517,medium,indirect,"Ask that colleague to check that printer for paper and toner, then take that laptop next to the desk.","Person3, Printer1, Laptop2, Desk8",,,,,,"Person3, Printer1, Laptop2, Desk8","Person3, Printer1, Laptop2, Desk8","person3, printer, laptop2, desk8",false,
518,Medium-518,medium,direct,"Adjust that lamp, then verify that laptop for battery level, then close that door.","Lamp1, Laptop1, Door1",,,,,,"Lamp1, Laptop1, Door1","Lamp1, Laptop1, Door1","lamp1, laptop1, door1",false,
519,Medium-519,medium,direct,"Adjust that chair, then tidy that file, then inspect that computer for display issues.","Chair1, File5, PC5",,,,,,"Chair1, File5, PC5","Chair1, File5, PC5","chair1, file5, PC5",false,
